Student_ID,Name,Section,Parental_Education,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Internet_Access,Extra_Classes,Math_Marks,Science_Marks,English_Marks,Hindi_Marks,SST_Marks,Final_Score,Result,Grade
38,Rahul Deep Tiwari_38,C,Graduate,2.65,7.78,85.51,Yes,Yes,50.02,37.36,58.9,60.34,75.06,56.33,Pass,B
39,Priya Mohan Pandey_39,A,School,2.97,7.12,81.93,No,No,77.89,79.58,52.32,70.46,49.03,65.86,Pass,A
40,Sneha Shiv Chauhan_40,C,Postgraduate,4.81,7.48,41.65,Yes,No,88.41,40.86,70.93,56.73,59.81,63.35,Pass,A
41,Arjun Kumar Sharma_41,A,Postgraduate,3.43,5.72,100.0,No,Yes,52.56,69.34,64.38,80.51,41.98,61.75,Pass,A
42,Anjali Singh Verma_42,C,Graduate,2.72,4.73,47.21,Yes,Yes,57.39,48.94,69.42,77.82,67.25,64.16,Pass,A
43,Vikas Raj Yadav_43,C,School,3.88,6.99,61.48,No,Yes,75.02,56.44,56.44,54.56,53.78,59.25,Pass,B
44,Neha Dev Gupta_44,A,School,3.96,7.75,67.38,Yes,No,56.16,66.73,46.67,63.2,64.08,59.37,Pass,B
45,Rohit Prasad Singh_45,A,Graduate,2.98,5.91,64.12,No,No,32.11,74.44,85.37,51.4,56.69,60.0,Pass,A
46,Pooja Kant Kumar_46,C,Graduate,2.97,5.37,71.56,Yes,No,62.47,88.34,51.82,52.95,50.98,61.31,Pass,A
47,Karan Narayan Mishra_47,B,School,4.32,5.85,63.42,Yes,No,60.54,41.61,44.71,76.39,86.84,62.02,Pass,A
48,Simran Deep Tiwari_48,A,Graduate,2.33,7.08,95.35,Yes,Yes,49.9,46.02,81.52,74.73,81.77,66.79,Pass,A
49,Amit Mohan Pandey_49,B,School,2.3,7.22,83.86,Yes,No,79.27,62.49,69.87,54.01,64.42,66.01,Pass,A
50,Rahul Shiv Chauhan_50,B,School,4.61,8.67,65.69,No,No,61.96,65.61,83.56,54.15,97.23,72.5,Pass,A
51,Priya Kumar Sharma_51,B,School,6.76,7.04,62.45,Yes,No,81.45,37.98,84.74,79.29,74.99,71.69,Pass,A
52,Sneha Singh Verma_52,A,School,5.6,5.5,66.53,Yes,Yes,33.92,48.1,46.76,73.97,56.1,51.77,Pass,B
53,Arjun Raj Yadav_53,B,School,6.33,6.14,61.42,Yes,Yes,29.51,42.54,68.53,51.85,85.52,55.59,Pass,B
54,Anjali Dev Gupta_54,A,Graduate,1.79,5.24,57.02,Yes,No,76.49,50.99,73.2,82.91,57.99,68.32,Pass,A
55,Vikas Prasad Singh_55,B,Postgraduate,2.39,7.83,89.03,Yes,Yes,41.97,63.87,72.92,67.3,80.36,65.29,Pass,A
56,Neha Kant Kumar_56,C,Postgraduate,4.52,5.16,69.15,Yes,Yes,46.72,68.35,67.43,80.4,60.55,64.69,Pass,A
57,Rohit Narayan Mishra_57,C,School,5.75,5.82,80.93,Yes,No,48.89,82.43,93.05,77.18,73.25,74.96,Pass,A
58,Pooja Deep Tiwari_58,A,School,5.46,7.08,75.98,Yes,No,92.37,67.68,72.6,53.01,78.46,72.82,Pass,A
59,Karan Mohan Pandey_59,C,School,2.48,8.41,96.74,Yes,Yes,75.31,35.11,74.0,67.22,65.0,63.33,Pass,A
60,Simran Shiv Chauhan_60,C,School,6.2,9.0,88.43,Yes,Yes,37.33,61.28,62.07,55.38,75.26,58.26,Pass,B
61,Amit Kumar Sharma_61,B,Graduate,4.38,4.89,80.43,No,No,59.5,61.42,48.16,70.43,64.93,60.89,Pass,A
62,Rahul Singh Verma_62,A,Graduate,5.67,7.27,100.0,Yes,Yes,63.5,38.24,79.39,75.68,72.9,65.94,Pass,A
63,Priya Raj Yadav_63,B,School,3.59,6.47,64.42,Yes,No,45.31,49.42,68.4,75.46,59.27,59.57,Pass,B
64,Sneha Dev Gupta_64,B,School,2.18,6.2,72.18,Yes,Yes,59.66,71.62,84.14,78.25,77.18,74.17,Pass,A
65,Arjun Prasad Singh_65,B,School,5.77,6.16,84.8,Yes,Yes,50.89,41.62,55.11,73.37,63.81,56.96,Pass,B
66,Anjali Kant Kumar_66,B,School,5.2,5.02,87.66,Yes,No,87.72,75.06,65.71,52.63,31.54,62.53,Pass,A
67,Vikas Narayan Mishra_67,B,Graduate,2.63,8.5,61.82,No,Yes,62.48,47.73,59.66,77.75,63.38,62.2,Pass,A
68,Neha Deep Tiwari_68,B,School,3.5,4.0,74.49,Yes,No,40.65,58.12,58.81,81.04,70.15,61.75,Pass,A
69,Rohit Mohan Pandey_69,B,Graduate,5.53,6.32,75.33,Yes,Yes,67.36,36.86,70.28,73.34,64.61,62.49,Pass,A
70,Pooja Shiv Chauhan_70,A,Graduate,4.81,8.3,100.0,Yes,Yes,71.4,60.23,38.99,66.02,52.29,57.79,Pass,B
71,Karan Kumar Sharma_71,C,Postgraduate,5.25,6.77,84.94,No,No,53.76,61.24,70.27,64.06,60.61,61.99,Pass,A
72,Simran Singh Verma_72,B,Postgraduate,3.71,5.7,91.21,Yes,Yes,72.75,44.76,72.97,48.85,71.34,62.13,Pass,A
73,Amit Raj Yadav_73,B,Graduate,6.63,5.74,69.17,Yes,No,65.68,53.45,96.1,80.43,74.86,74.1,Pass,A
74,Rahul Dev Gupta_74,B,School,4.33,7.56,63.74,Yes,Yes,56.52,63.08,63.86,65.18,36.2,56.97,Pass,B
75,Priya Prasad Singh_75,B,Graduate,1.0,6.13,68.64,Yes,No,60.58,72.78,79.74,77.11,48.04,67.65,Pass,A
76,Sneha Kant Kumar_76,B,Postgraduate,4.66,6.46,83.22,Yes,No,63.36,61.57,65.32,58.21,88.53,67.4,Pass,A
77,Arjun Narayan Mishra_77,B,School,5.41,7.25,97.13,No,No,19.41,100.0,77.82,100.0,58.79,71.2,Pass,A
78,Anjali Deep Tiwari_78,C,Graduate,4.95,7.62,53.66,Yes,No,62.46,69.11,85.8,77.77,51.22,69.27,Pass,A
79,Vikas Mohan Pandey_79,C,Postgraduate,3.86,5.83,100.0,Yes,No,78.97,78.76,42.38,64.46,100.0,72.91,Pass,A
80,Neha Shiv Chauhan_80,B,Graduate,1.57,4.86,88.3,Yes,No,59.62,31.91,71.62,46.91,30.95,48.2,Pass,C
81,Rohit Kumar Sharma_81,C,School,3.53,5.3,90.02,No,Yes,79.89,54.11,86.9,75.79,66.07,72.55,Pass,A
82,Pooja Singh Verma_82,A,School,3.67,8.16,89.01,Yes,No,45.27,73.39,84.83,67.59,76.75,69.57,Pass,A
83,Karan Raj Yadav_83,B,Graduate,3.51,6.58,68.91,Yes,No,40.7,66.86,71.5,34.11,42.2,51.08,Pass,B
84,Simran Dev Gupta_84,A,School,5.42,5.0,73.08,Yes,Yes,42.87,86.43,78.96,53.81,63.7,65.15,Pass,A
85,Amit Prasad Singh_85,A,Graduate,4.0,5.38,85.21,Yes,No,67.78,48.32,65.65,61.61,64.54,61.58,Pass,A
86,Rahul Kant Kumar_86,B,Graduate,6.57,7.9,71.25,Yes,No,71.09,33.89,78.93,88.87,45.72,63.7,Pass,A
87,Priya Narayan Mishra_87,C,School,4.16,6.6,78.51,No,Yes,45.63,51.33,69.07,69.16,77.27,62.49,Pass,A
88,Sneha Deep Tiwari_88,A,Postgraduate,6.32,4.49,65.04,Yes,Yes,67.27,20.96,63.31,82.85,74.65,61.81,Pass,A
89,Arjun Mohan Pandey_89,B,Graduate,4.82,5.18,86.59,No,Yes,60.57,78.63,77.31,73.18,31.45,64.23,Pass,A
90,Anjali Shiv Chauhan_90,A,School,4.9,7.88,72.89,Yes,No,59.76,23.45,62.11,79.6,76.94,60.37,Pass,A
91,Vikas Kumar Sharma_91,A,Postgraduate,3.48,5.82,68.93,Yes,No,56.87,73.75,77.01,79.72,65.27,70.52,Pass,A
92,Neha Singh Verma_92,A,Postgraduate,2.47,9.0,62.62,Yes,No,67.33,63.95,77.54,95.09,44.31,69.64,Pass,A
93,Rohit Raj Yadav_93,A,Graduate,4.39,8.8,65.02,Yes,No,31.59,89.55,81.62,36.11,78.73,63.52,Pass,A
94,Pooja Dev Gupta_94,C,Postgraduate,7.03,8.29,55.19,Yes,Yes,35.2,68.86,68.9,67.13,52.95,58.61,Pass,B
95,Karan Prasad Singh_95,A,Graduate,3.81,7.1,81.35,Yes,No,61.74,100.0,95.64,75.55,37.31,74.05,Pass,A
96,Simran Kant Kumar_96,A,Postgraduate,3.57,7.74,66.03,Yes,No,75.46,22.72,56.03,84.26,62.65,60.22,Pass,A
97,Amit Narayan Mishra_97,A,Graduate,4.24,6.43,74.36,Yes,Yes,68.66,71.17,89.75,71.96,65.38,73.39,Pass,A
98,Rahul Deep Tiwari_98,C,Graduate,7.15,6.46,93.23,Yes,No,77.6,100.0,83.47,58.95,40.94,72.19,Pass,A
99,Priya Mohan Pandey_99,A,PhD,5.68,5.06,73.2,No,Yes,73.6,32.3,78.72,57.56,77.19,63.87,Pass,A
100,Sneha Shiv Chauhan_100,A,Graduate,6.32,6.45,72.63,Yes,Yes,29.45,81.38,82.01,63.11,100.0,71.19,Pass,A
101,Arjun Kumar Sharma_101,C,School,1.53,4.98,74.24,Yes,Yes,50.38,51.23,64.49,74.06,63.53,60.74,Pass,A
102,Anjali Singh Verma_102,C,Graduate,3.26,6.51,79.39,Yes,Yes,94.86,67.78,36.69,67.92,60.73,65.6,Pass,A
103,Vikas Raj Yadav_103,C,Graduate,3.32,5.05,67.98,Yes,Yes,57.79,73.67,63.42,64.08,32.87,58.37,Pass,B
104,Neha Dev Gupta_104,A,School,6.2,5.46,87.78,No,No,85.8,36.05,75.39,66.5,98.64,72.48,Pass,A
105,Rohit Prasad Singh_105,C,PhD,5.49,3.43,76.95,Yes,No,29.54,69.28,79.93,86.83,69.98,67.11,Pass,A
106,Pooja Kant Kumar_106,C,School,6.08,5.56,66.86,Yes,Yes,47.26,45.26,87.28,50.73,64.41,58.99,Pass,B
107,Karan Narayan Mishra_107,A,School,1.69,5.64,69.85,Yes,Yes,62.24,70.78,66.47,77.97,32.25,61.94,Pass,A
108,Simran Deep Tiwari_108,C,Postgraduate,6.17,6.13,92.14,Yes,Yes,74.83,67.89,52.12,48.64,58.11,60.32,Pass,A
109,Amit Mohan Pandey_109,A,Graduate,5.49,7.93,65.14,Yes,No,43.49,100.0,65.79,65.38,80.76,71.08,Pass,A
110,Rahul Shiv Chauhan_110,B,School,3.11,6.44,81.3,Yes,Yes,64.29,48.09,73.09,60.58,77.64,64.74,Pass,A
111,Priya Kumar Sharma_111,C,Graduate,4.2,7.61,82.17,Yes,No,63.83,61.48,55.73,46.18,64.92,58.43,Pass,B
112,Sneha Singh Verma_112,B,Graduate,3.16,7.66,58.87,No,Yes,76.49,33.09,92.38,55.0,58.46,63.08,Pass,A
113,Arjun Raj Yadav_113,A,School,4.36,8.19,53.3,Yes,No,62.92,84.69,75.52,97.97,65.81,77.38,Pass,A
114,Anjali Dev Gupta_114,C,PhD,5.17,5.41,70.16,Yes,Yes,48.83,62.54,66.48,66.21,54.13,59.64,Pass,B
115,Vikas Prasad Singh_115,A,Graduate,6.61,5.08,87.08,Yes,Yes,65.06,78.2,73.68,26.05,53.23,59.24,Pass,B
116,Neha Kant Kumar_116,B,Graduate,3.09,6.36,52.94,Yes,Yes,86.95,79.39,69.83,67.99,85.38,77.91,Pass,A
117,Rohit Narayan Mishra_117,A,Graduate,3.8,5.25,61.91,No,No,52.32,60.84,52.84,81.15,47.76,58.98,Pass,B
118,Pooja Deep Tiwari_118,C,Graduate,2.85,6.22,85.09,Yes,Yes,64.19,51.5,83.68,74.17,72.51,69.21,Pass,A
119,Karan Mohan Pandey_119,C,School,5.65,5.36,58.97,Yes,No,50.64,59.56,82.74,50.37,63.79,61.42,Pass,A
120,Simran Shiv Chauhan_120,B,School,2.14,5.04,90.34,Yes,No,85.45,82.79,56.81,31.59,60.1,63.34,Pass,A
121,Amit Kumar Sharma_121,A,Graduate,4.77,6.93,100.0,Yes,Yes,54.79,67.27,81.34,63.32,76.96,68.74,Pass,A
122,Rahul Singh Verma_122,C,Postgraduate,2.66,8.74,62.77,Yes,No,80.26,67.62,47.81,67.14,46.72,61.91,Pass,A
123,Priya Raj Yadav_123,B,School,4.57,6.2,97.09,No,No,72.46,100.0,66.45,48.48,67.45,70.97,Pass,A
124,Sneha Dev Gupta_124,C,Graduate,6.23,6.83,79.92,Yes,Yes,35.14,79.95,70.48,57.99,67.16,62.15,Pass,A
125,Arjun Prasad Singh_125,C,Postgraduate,3.73,6.58,63.12,Yes,Yes,73.79,52.66,77.46,47.34,41.34,58.52,Pass,B
126,Anjali Kant Kumar_126,A,School,4.83,6.46,98.89,Yes,No,55.06,46.51,91.45,100.0,46.64,67.93,Pass,A
127,Vikas Narayan Mishra_127,C,School,3.16,8.21,81.1,Yes,No,63.95,44.57,88.48,69.09,90.36,71.29,Pass,A
128,Neha Deep Tiwari_128,A,School,4.33,6.17,92.85,Yes,No,50.01,78.96,69.23,54.72,49.23,60.43,Pass,A
129,Rohit Mohan Pandey_129,C,Graduate,2.16,3.0,100.0,Yes,No,100.0,38.15,47.89,63.43,53.91,60.68,Pass,A
130,Pooja Shiv Chauhan_130,B,School,5.56,5.45,73.39,No,Yes,70.66,60.35,66.69,69.99,62.78,66.09,Pass,A
131,Karan Kumar Sharma_131,C,Graduate,3.88,6.63,83.29,Yes,Yes,79.5,78.37,72.85,54.74,55.81,68.25,Pass,A
132,Simran Singh Verma_132,A,Graduate,4.19,6.37,58.27,No,No,59.36,43.66,79.78,70.26,66.61,63.93,Pass,A
133,Amit Raj Yadav_133,A,Graduate,4.6,6.22,68.02,Yes,No,62.83,87.64,91.32,78.1,63.46,76.67,Pass,A
134,Rahul Dev Gupta_134,B,School,1.55,5.89,73.78,Yes,Yes,36.14,24.22,59.52,74.18,75.58,53.93,Pass,B
135,Priya Prasad Singh_135,C,Graduate,3.46,6.6,78.17,Yes,No,69.73,70.65,70.51,75.29,40.65,65.37,Pass,A
136,Sneha Kant Kumar_136,C,Postgraduate,4.7,8.97,43.07,Yes,Yes,45.14,56.47,76.86,72.82,85.09,67.28,Pass,A
137,Arjun Narayan Mishra_137,B,Postgraduate,4.26,6.11,98.23,Yes,Yes,55.7,64.91,55.06,30.46,41.76,49.58,Pass,C
138,Anjali Deep Tiwari_138,C,Postgraduate,7.77,9.0,84.51,Yes,Yes,54.11,67.49,74.71,33.72,74.37,60.88,Pass,A
139,Vikas Mohan Pandey_139,C,Graduate,6.39,7.07,82.75,Yes,No,39.62,58.44,71.42,78.97,52.9,60.27,Pass,A
140,Neha Shiv Chauhan_140,A,Graduate,4.71,5.7,100.0,Yes,Yes,57.85,62.21,88.28,73.14,77.9,71.88,Pass,A
141,Rohit Kumar Sharma_141,C,School,2.97,7.54,99.32,Yes,Yes,77.14,50.36,54.13,63.4,83.99,65.8,Pass,A
142,Pooja Singh Verma_142,C,School,3.76,3.58,72.73,Yes,Yes,44.04,57.85,69.35,48.47,75.59,59.06,Pass,B
143,Karan Raj Yadav_143,B,School,5.49,6.48,66.46,Yes,No,71.2,59.26,77.51,56.5,79.04,68.7,Pass,A
144,Simran Dev Gupta_144,B,Graduate,4.61,7.12,84.34,Yes,Yes,64.79,24.77,69.02,81.48,39.55,55.92,Pass,B
145,Amit Prasad Singh_145,A,School,6.41,7.14,98.27,Yes,No,63.36,56.66,54.1,66.29,73.88,62.86,Pass,A
146,Rahul Kant Kumar_146,C,School,4.6,7.26,72.77,Yes,Yes,33.82,51.06,63.57,59.37,27.08,46.98,Pass,C
147,Priya Narayan Mishra_147,C,PhD,4.67,7.37,88.34,No,Yes,54.51,69.21,72.49,68.86,73.18,67.65,Pass,A
148,Sneha Deep Tiwari_148,C,School,6.94,6.86,100.0,No,No,90.98,71.39,100.0,70.78,75.9,81.81,Pass,A+
149,Arjun Mohan Pandey_149,A,School,2.86,7.37,89.82,No,No,53.92,87.19,54.97,64.13,74.47,66.94,Pass,A
150,Anjali Shiv Chauhan_150,A,School,7.1,5.83,51.08,Yes,Yes,71.84,90.65,69.1,70.7,45.91,69.64,Pass,A
151,Vikas Kumar Sharma_151,B,Graduate,5.65,7.91,57.08,Yes,Yes,56.49,38.14,72.51,82.78,56.32,61.25,Pass,A
152,Neha Singh Verma_152,A,Graduate,9.35,5.95,100.0,Yes,No,44.73,87.61,79.51,69.13,66.95,69.59,Pass,A
153,Rohit Raj Yadav_153,C,School,3.45,7.89,76.65,Yes,No,54.89,14.99,59.21,70.05,60.94,52.02,Pass,B
154,Pooja Dev Gupta_154,C,Graduate,6.94,6.48,79.95,Yes,Yes,84.95,60.16,73.43,69.78,52.95,68.25,Pass,A
155,Karan Prasad Singh_155,A,Postgraduate,4.7,6.76,83.52,Yes,No,82.3,62.7,97.35,86.27,55.78,76.88,Pass,A
156,Simran Kant Kumar_156,C,Postgraduate,4.22,7.56,96.48,Yes,Yes,44.0,72.5,55.39,82.97,58.08,62.59,Pass,A
157,Amit Narayan Mishra_157,C,PhD,4.96,8.31,63.26,Yes,Yes,55.14,53.34,71.72,69.57,80.28,66.01,Pass,A
158,Rahul Deep Tiwari_158,A,Postgraduate,4.69,6.55,68.81,Yes,No,46.09,64.67,79.08,79.48,50.84,64.03,Pass,A
159,Priya Mohan Pandey_159,A,Graduate,3.33,6.76,59.92,Yes,Yes,56.99,56.34,70.71,77.78,52.44,62.85,Pass,A
160,Sneha Shiv Chauhan_160,C,School,4.3,3.4,44.04,Yes,Yes,73.73,87.97,71.69,66.29,98.05,79.55,Pass,A
161,Arjun Kumar Sharma_161,C,School,4.96,5.46,81.15,Yes,Yes,68.0,61.12,77.99,65.95,58.98,66.41,Pass,A
162,Anjali Singh Verma_162,C,School,3.86,4.69,62.01,Yes,No,83.95,83.4,70.87,48.27,49.35,67.17,Pass,A
163,Vikas Raj Yadav_163,B,Graduate,5.31,6.01,89.44,No,No,100.0,44.05,78.78,47.55,79.58,69.99,Pass,A
164,Neha Dev Gupta_164,B,Postgraduate,4.06,5.7,65.9,Yes,Yes,68.69,82.52,65.87,80.05,44.89,68.4,Pass,A
165,Rohit Prasad Singh_165,B,Graduate,5.19,5.55,54.8,No,Yes,78.59,43.44,75.32,94.87,81.78,74.8,Pass,A
166,Pooja Kant Kumar_166,A,School,5.01,5.26,90.81,Yes,Yes,95.61,76.83,62.2,73.62,100.0,81.65,Pass,A+
167,Karan Narayan Mishra_167,B,Graduate,5.18,7.13,82.84,Yes,Yes,50.46,62.19,67.45,65.19,50.06,59.07,Pass,B
168,Simran Deep Tiwari_168,A,Postgraduate,2.48,4.35,72.52,No,No,85.62,65.83,69.56,70.07,72.76,72.77,Pass,A
169,Amit Mohan Pandey_169,A,Graduate,6.15,5.19,73.36,Yes,No,56.49,100.0,61.05,69.44,42.98,65.99,Pass,A
170,Rahul Shiv Chauhan_170,B,Postgraduate,3.2,6.54,84.01,Yes,Yes,74.48,51.13,51.02,48.58,69.38,58.92,Pass,B
171,Priya Kumar Sharma_171,B,Postgraduate,4.22,7.66,100.0,No,Yes,52.99,78.49,55.04,77.19,91.29,71.0,Pass,A
172,Sneha Singh Verma_172,B,Postgraduate,3.53,5.38,81.03,Yes,No,87.47,66.07,67.16,73.09,61.74,71.11,Pass,A
173,Arjun Raj Yadav_173,C,Postgraduate,4.61,7.76,82.05,Yes,No,71.48,95.18,82.73,41.9,55.35,69.33,Pass,A
174,Anjali Dev Gupta_174,B,Graduate,4.33,3.22,68.14,Yes,Yes,63.46,92.26,74.28,73.97,91.36,79.07,Pass,A
175,Vikas Prasad Singh_175,C,School,5.48,6.5,71.46,No,Yes,64.61,85.6,81.96,76.26,85.05,78.7,Pass,A
176,Neha Kant Kumar_176,A,School,4.57,6.87,40.0,No,Yes,100.0,68.13,77.53,47.7,35.14,65.7,Pass,A
177,Rohit Narayan Mishra_177,C,Graduate,3.91,5.31,60.85,Yes,No,64.17,33.2,81.71,79.75,76.38,67.04,Pass,A
178,Pooja Deep Tiwari_178,B,School,1.8,4.93,59.02,Yes,Yes,40.23,59.18,64.84,62.17,52.35,55.75,Pass,B
179,Karan Mohan Pandey_179,A,PhD,5.83,6.65,58.62,Yes,No,57.37,26.92,70.75,79.11,57.72,58.37,Pass,B
180,Simran Shiv Chauhan_180,A,School,5.28,6.46,69.27,Yes,No,80.28,38.23,67.58,65.55,80.41,66.41,Pass,A
181,Amit Kumar Sharma_181,A,Postgraduate,5.89,5.53,70.86,No,Yes,93.0,50.82,69.62,92.3,41.15,69.38,Pass,A
182,Rahul Singh Verma_182,C,School,4.22,6.15,59.02,No,Yes,75.47,73.27,52.52,65.37,59.06,65.14,Pass,A
183,Priya Raj Yadav_183,B,School,5.04,5.78,93.88,Yes,No,41.53,38.69,76.08,73.12,54.68,56.82,Pass,B
184,Sneha Dev Gupta_184,A,Postgraduate,3.52,8.0,83.98,Yes,Yes,54.27,39.05,68.73,38.35,52.67,50.62,Pass,B
185,Arjun Prasad Singh_185,A,School,3.38,7.32,78.09,Yes,No,58.52,8.86,83.94,54.53,68.36,54.84,Pass,B
186,Anjali Kant Kumar_186,A,School,4.07,6.73,84.68,Yes,No,69.34,88.55,55.01,76.28,60.8,70.0,Pass,A
187,Vikas Narayan Mishra_187,C,School,5.88,8.76,49.21,No,No,65.38,59.7,41.8,82.94,43.37,58.64,Pass,B
188,Neha Deep Tiwari_188,C,Graduate,4.09,7.74,48.79,Yes,Yes,79.24,78.23,73.98,43.29,92.15,73.38,Pass,A
189,Rohit Mohan Pandey_189,B,School,4.42,7.99,93.27,No,No,54.08,70.0,59.0,63.62,72.84,63.91,Pass,A
190,Pooja Shiv Chauhan_190,C,Graduate,4.86,8.4,100.0,Yes,Yes,63.92,46.99,74.61,87.94,51.05,64.9,Pass,A
191,Karan Kumar Sharma_191,A,Graduate,4.54,6.31,75.82,No,No,55.2,65.27,76.99,64.3,43.58,61.07,Pass,A
192,Simran Singh Verma_192,B,Graduate,6.02,5.04,100.0,Yes,No,69.18,77.71,88.83,59.59,89.79,77.02,Pass,A
193,Amit Raj Yadav_193,A,Graduate,3.38,4.36,75.02,Yes,No,53.09,46.53,78.98,45.99,83.15,61.54,Pass,A
194,Rahul Dev Gupta_194,A,Graduate,4.65,7.39,64.37,No,Yes,70.85,72.94,79.54,64.87,91.94,76.03,Pass,A
